사업장명,소재지전체주소
산우물 경로당,서울특별시 강서구 공항동 2-91번지 
우정경로당,서울특별시 강서구 방화동 839번지 
라인아파트경로당,서울특별시 강서구 등촌동 628-15번지 
장미아파트경로당,서울특별시 강서구 방화동 841번지 
관음삼성아파트 경로당,서울특별시 강서구 염창동 268번지 
연지경로당,서울특별시 강서구 화곡동 1121-19번지 
한보구암아파트경로당,서울특별시 강서구 가양동 1495번지 
건우3차아파트경로당,서울특별시 강서구 방화동 195번지 
등촌6단지(아) 경로당,서울특별시 강서구 등촌동 
등촌5단지(아)경로당,서울특별시 강서구 등촌동 695번지 
방화9단지아파트 경로당,서울특별시 강서구 방화동 807번지 
봉제경로당,서울특별시 강서구 화곡동 산 47-16번지 
염창극동아파트경로당,서울특별시 강서구 염창동 246-23번지 
화곡초록(아)경로당,서울특별시 강서구 화곡동 1139번지 
무학(아) 경로당,서울특별시 강서구 염창동 255번지 
마곡벽산(아)경로당,서울특별시 강서구 마곡동 429번지 
서광APT 경로당,서울특별시 강서구 등촌동 638번지 
무지개경로당,서울특별시 강서구 화곡동 810-6번지 
방화구립경로당,서울특별시 강서구 방화동 262-7번지 
한숲대림아파트경로당,서울특별시 강서구 방화동 862번지 한숲대림아파트 
대림아파트경로당,서울특별시 강서구 염창동 262-2번지 
신동아아파트경로당,서울특별시 강서구 방화동 797번지 
한부구암아파트경로당,서울특별시 강서구 가양동 1495번지 
대림아파트경로당,서울특별시 강서구 염창동 262-2번지 
방화2차현대(아),서울특별시 강서구 방화동 863번지 
태영송화(아),서울특별시 강서구 염창동 270-1번지 
방화2차현대(아),서울특별시 강서구 방화동 863번지 
태영송화(아)경로당,서울특별시 강서구 염창동 270-1번지 
영운경로당,서울특별시 강서구 화곡동 1003-22번지 
마곡엠밸리14단지경로당,서울특별시 강서구 마곡동 
강서한강자이아파트,서울특별시 강서구 가양동 
신곡경로당,서울특별시 강서구 화곡동 466-9번지 
구립예촌 경로당,서울특별시 강서구 화곡동 425-9번지 
등촌동 대림아파트경로당,서울특별시 강서구 등촌동 561-1번지 
가양경로당,서울특별시 강서구 가양동 
증미경로당,서울특별시 강서구 염창동 241-15번지 
화곡본동 천주교회 경로당,서울특별시 강서구 화곡동 105-244번지 
내발산 경로당,서울특별시 강서구 내발산동 671-30번지 
삼정그린코아아파트경로당,서울특별시 강서구 염창동 282번지 
화곡경로당,서울특별시 강서구 화곡동 341-41번지 
등촌임광아파트경로당,서울특별시 강서구 등촌동 562-5번지 102 102동 1602호
할머니경로당,서울특별시 강서구 오곡동 280-5번지 
빛고을우방아파트경로당,서울특별시 강서구 가양동 448-9번지 101 101동 705호
태영방송인아파트경로당,서울특별시 강서구 화곡동 1140번지 
가양8단지아파트경로당,서울특별시 강서구 가양동 1482번지 
등촌현대아파트경로당,서울특별시 강서구 등촌동 655-27번지 101 101동 506호
청솔아파트경로당,서울특별시 강서구 방화동 
발음경로당,서울특별시 강서구 내발산동 697번지 
주공2단지경로당,서울특별시 강서구 화곡동 1003-1번지 
방화2차우림루미아트(아)경로당,서울특별시 강서구 방화동 876번지 
코오롱3차(아)경로당,서울특별시 강서구 등촌동 714번지 
대동황토방2차(아)경로당,서울특별시 강서구 등촌동 713번지 
방신 서광(아) 경로당,서울특별시 강서구 방화동 871번지 
방화동부센트레빌(아) 경로당,서울특별시 강서구 방화동 875번지 
방화동 e-편한세상 (아) 경로당,서울특별시 강서구 방화동 874번지 
우장산롯데캐슬경로당,서울특별시 강서구 화곡동 1145번지 
개화산동부센트레빌아파트경로당,서울특별시 강서구 방화동 870번지 
후포 경로당,서울특별시 강서구 마곡동 5-37번지 
대동황토방(아)경로당,서울특별시 강서구 등촌동 631-9번지 
신원아파트경로당,서울특별시 강서구 등촌동 641번지 
보람2차아파트경로당,서울특별시 강서구 등촌동 640번지 
신이주단지 경로당,서울특별시 강서구 공항동 1352-6번지 
희훈리치파크APT 경로당,서울특별시 강서구 화곡동 1011-6번지 
방화동신안네트빌APT 경로당,서울특별시 강서구 방화동 868번지 
화곡푸르지오 경로당,서울특별시 강서구 화곡동 1091번지 
초록동 경로당,서울특별시 강서구 화곡동 55-79번지 
신안빌라 경로당,서울특별시 강서구 가양동 327-53번지 
마곡 경로당,서울특별시 강서구 가양동 326-32번지 
화곡2차보람(아)경로당,서울특별시 강서구 화곡동 1149번지 
다솔 경로당,서울특별시 강서구 공항동 1361-1번지 
방화한진로즈힐(아)경로당,서울특별시 강서구 방화동 579번지 
등촌동월드메르디앙(아)경로당,서울특별시 강서구 등촌동 711번지 
등촌I-park(아)경로당,서울특별시 강서구 등촌동 715번지 
월드메르디앙 경로당,서울특별시 강서구 방화동 879번지 
등촌주공2단지(아)경로당,서울특별시 강서구 등촌동 687번지 
우장산힐스테이트 경로당,서울특별시 강서구 내발산동 657번지 
한화꿈에그린(아) 경로당,서울특별시 강서구 염창동 281-22번지 
염창롯데캐슬(아) 경로당,서울특별시 강서구 염창동 272-11번지 
강변 현대홈타운(아) 경로당,서울특별시 강서구 염창동 299번지 
동일스위트리버(아)경로당,서울특별시 강서구 방화동 880번지 
등촌동코오롱2차(아)경로당,서울특별시 강서구 등촌동 712번지 
방화삼성(아)경로당,서울특별시 강서구 방화동 857번지 
등촌11단지(아)경로당,서울특별시 강서구 등촌동 705-6번지 
강서힐스테이트(아)골든클럽 경로당,서울특별시 강서구 화곡동 
마곡엠밸리4단지(아)경로당,서울특별시 강서구 마곡동 
한솔솔파크(아) 경로당,서울특별시 강서구 마곡동 716번지 
강서월드메르디앙아파트 경로당,서울특별시 강서구 내발산동 659-1번지 
염창2차한화꿈에그린아파트 경로당,서울특별시 강서구 염창동 302번지 
강변한솔솔파크(아)경로당,서울특별시 강서구 염창동 300번지 
우장산롯데(아)경로당,서울특별시 강서구 화곡동 1148번지 
개화경로당,서울특별시 강서구 개화동 373-64번지 
